127.0.0.1 - - [31/Mar/2025:12:47:40 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:48:11 -0500] "GET /WebFarmacia/Login.jsp HTTP/1.1" 200 6099
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:48:13 -0500] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:55:11 -0500] "POST /WebFarmacia/UsuarioServlet?action=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:55:11 -0500] "GET /WebFarmacia/Principal.jsp HTTP/1.1" 200 7072
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:55:11 -0500] "GET /WebFarmacia/img/logo.png HTTP/1.1" 200 330743
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:55:11 -0500] "GET /WebFarmacia/img/Medicamentos.jpg HTTP/1.1" 200 139717
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:55:11 -0500] "GET /WebFarmacia/img/admin.png HTTP/1.1" 200 5044
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:55:11 -0500] "GET /WebFarmacia/img/Vitaminas.jpg HTTP/1.1" 200 90369
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:55:11 -0500] "GET /WebFarmacia/img/CuidadoPersonal.jpg HTTP/1.1" 200 302739
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:55:11 -0500] "GET /WebFarmacia/CategoriaServlet HTTP/1.1" 200 7569
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:55:14 -0500] "GET /WebFarmacia/ProveedoresServlet?caso=ListarProv HTTP/1.1" 200 15605
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:55:14 -0500] "GET /WebFarmacia/img/proveedores2.png HTTP/1.1" 200 22337
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:55:14 -0500] "GET /WebFarmacia/img/ HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:55:14 -0500] "GET /WebFarmacia/img/proveedores3.png HTTP/1.1" 200 20731
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:55:14 -0500] "GET /WebFarmacia/img/proveedores4.png HTTP/1.1" 200 143150
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:55:14 -0500] "GET /WebFarmacia/img/proveedores6.png HTTP/1.1" 200 130478
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:55:14 -0500] "GET /WebFarmacia/img/proveedor7.jpg HTTP/1.1" 200 22155
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:55:14 -0500] "GET /WebFarmacia/img/proveedores5.png HTTP/1.1" 200 40427
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:55:25 -0500] "GET /WebFarmacia/MntoProveedoresServlet?caso=ModificarProv&codigo=1 HTTP/1.1" 200 3335
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:55:39 -0500] "POST /WebFarmacia/ProveedoresServlet?caso=ModificarProv HTTP/1.1" 200 15605
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:55:39 -0500] "GET /WebFarmacia/img/ HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:01 -0500] "POST /WebFarmacia/ProveedoresServlet?caso=ModificarProv HTTP/1.1" 200 15605
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:01 -0500] "GET /WebFarmacia/img/ HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:06 -0500] "GET /WebFarmacia/ClienteServlet?accion=ListarCli HTTP/1.1" 200 19991
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:06 -0500] "GET /WebFarmacia/img/cliente.png HTTP/1.1" 200 6292
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:19 -0500] "GET /WebFarmacia/ProveedoresServlet?caso=ListarProv HTTP/1.1" 200 15605
0:0:0:0:0:0:0:1 - - [31/Mar/2025:12:56:19 -0500] "GET /WebFarmacia/img/ HTTP/1.1" 404 711
