127.0.0.1 - - [01/Apr/2025:11:10:44 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:26:56 -0500] "GET /WebFarmacia/Login.jsp HTTP/1.1" 200 6099
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:26:57 -0500] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:27:52 -0500] "POST /WebFarmacia/UsuarioServlet?action=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:27:52 -0500] "GET /WebFarmacia/Principal.jsp HTTP/1.1" 200 7072
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:27:52 -0500] "GET /WebFarmacia/img/Medicamentos.jpg HTTP/1.1" 200 139717
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:27:52 -0500] "GET /WebFarmacia/img/Vitaminas.jpg HTTP/1.1" 200 90369
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:27:52 -0500] "GET /WebFarmacia/img/CuidadoPersonal.jpg HTTP/1.1" 200 302739
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:27:52 -0500] "GET /WebFarmacia/CategoriaServlet HTTP/1.1" 200 7569
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:31:19 -0500] "GET /WebFarmacia/ClienteServlet?accion=ListarCli HTTP/1.1" 500 5465
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:32:20 -0500] "GET /WebFarmacia/Login.jsp HTTP/1.1" 200 6099
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:32:36 -0500] "POST /WebFarmacia/UsuarioServlet?action=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:32:36 -0500] "GET /WebFarmacia/Principal.jsp HTTP/1.1" 200 7072
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:32:36 -0500] "GET /WebFarmacia/CategoriaServlet HTTP/1.1" 200 7569
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:32:38 -0500] "GET /WebFarmacia/ClienteServlet?accion=ListarCli HTTP/1.1" 200 21346
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:32:38 -0500] "GET /WebFarmacia/img/cliente.png HTTP/1.1" 200 6292
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:32:43 -0500] "GET /WebFarmacia/ProveedoresServlet?caso=EliminarProv&codigo=13 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:37:04 -0500] "GET /WebFarmacia/ProveedoresServlet?caso=ListarProv HTTP/1.1" 500 5505
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:37:07 -0500] "GET /WebFarmacia/ProveedoresServlet?caso=ListarProv HTTP/1.1" 500 5505
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:48:05 -0500] "GET /WebFarmacia/Login.jsp HTTP/1.1" 200 6099
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:48:24 -0500] "POST /WebFarmacia/UsuarioServlet?action=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:48:24 -0500] "GET /WebFarmacia/Principal.jsp HTTP/1.1" 200 7072
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:48:24 -0500] "GET /WebFarmacia/CategoriaServlet HTTP/1.1" 200 7569
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:48:26 -0500] "GET /WebFarmacia/ProveedoresServlet?caso=ListarProv HTTP/1.1" 200 18428
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:48:26 -0500] "GET /WebFarmacia/img/ HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:48:26 -0500] "GET /WebFarmacia/img/proveedores2.png HTTP/1.1" 200 22337
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:48:26 -0500] "GET /WebFarmacia/img/TEAM%20ANIMADO.png HTTP/1.1" 404 729
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:48:26 -0500] "GET /WebFarmacia/img/proveedores4.png HTTP/1.1" 200 143150
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:48:26 -0500] "GET /WebFarmacia/img/proveedores3.png HTTP/1.1" 200 20731
0:0:0:0:0:0:0:1 - - [01/Apr/2025:11:48:26 -0500] "GET /WebFarmacia/img/proveedores6.png HTTP/1.1" 200 130478
